text,label
kneeling ne'er spoiled silk stockings; quit thy state;,0
"still sigurd rides with the brethren, as oft in the other days,",2
even now eclipses the descending moon!--,2
it will be spring again.,2
"science and song, and all the arts that please;",1
to that mysterious strand.,2
as when i read in god's own holy book.,2
"blood-dipped arrows, which savages make",0
"overleaning, with flickering meaning and sign,",2
does beauty slight you from her gay abodes?,3
for peace or rest too well he saw,2
"and sorrowful to-day, thy children set",0
to his aid the strong reverses,2
hale as the morn and happy as her song.,1
"left the torn human heart, their food and dwelling-place.",0
"the loveliest king of the king-folk, the man of sweetest speech,",1
"ambrosial odours and ambrosial flowers,",2
his pass to the majestical far shore.,1
"he plays a little, sings a song,",2
a million torches lighted by thy hand,1
"concerning him ye wot of, thus to think",2
bred onely and completed to the taste,2
"what's de use o' gittin' mopy,",2
"and stiff in fight, but serious drill's despair,",0
"you turn, o jeanne, on our mystery",2
to his ears there came a murmur of far seas beneath the wind,2
"lull’d in her lap, amidst a train of loves,",1
ran ever clearer speech than that did run,1
"a story of the days of old,",2
fifty times the brahmins' offer deluged all the floor.,2
"may meditate a whole youth's loss,",0
"and gladys said,",2
"sometime, when all life's lessons have been learned,",2
"the eternal law,",2
"yet both in different colours hide their art,",2
twas when you stole my maidenhead;,0
and circling wonders fill the vast profound.,1
mere raft of stone;,2
"skins of otter, lynx, and ermine,",2
"the eyes beside had wrung them dry,",2
upon the thought of perfect noon. and when,1
"burns in thee, child?--what good can thee betide,",2
"(like essence-peddlers) thet'll make folks long to be without 'em,",2
who digs last year's potato hill?--,2
"or at the church, she ever bore herself",2
his sweeter voice a just accordance kept.,1
"the limpid ocean mirrors all the stars,",1
and after that the winter cold and drear.,0
oblivion's blankness claims,0
with many sighs;,2
and when i bade the dream,2
"dearest, why should i mourn, whimper, and whine, i that have yet to live?",3
"upon sea-beaten cape,",2
"a spirit, neither here nor there,",2
and listening to thy home's familiar chime,2
"in slumber; for thine enemy never sleeps,",0
whose potent unity and concentric force,1
"strove to raise itself in blessing,",1
"their heads, distilling gore, his chariot grace.",3
"thus hee in scorn. the warlike angel mov'd,",0
"""it is a lie, a damned, infernal lie!""",0
"of his faint steed; the latter, as he stretch’d",2
long-drawn bill of wine and beer,2
"the visual nerve is withered to the root,",0
honour to the bugle-horn!,1
"and when they reached the house,",2
my prayer away i threw;,2
the poet comes the last!,2
"who cometh over the hills,",2
"the tablet telling where he ""fell on sleep,""--",2
gay little heart!,1
an hundred silken cords are set,2
jarr'd his own golden region; and before,2
with warning cough and threatening wheeze,0
"far from the woods where, when the sun has set,",2
or the bolder art essaying,2
wilt thou our lowly beds with tears of pity lave?',0
time never did assuage;,2
i would not live alway--live alway below!,2
"of the bivouac fire apart,",2
lowly and soft she said it; but spake out louder now:,2
"a fragrance from the cedars, thickly set",2
daih 's de ho'n a blowin'!,2
"meekly in the eternal footsteps trod,",2
"yearns to its source. the spirit thirsts for god,",2
"is this a time to be cloudy and sad,",0
see! neptune’s altars minister their brands:,2
were i once more the lover,2
like slippers after shoes.--,2
how heavy it seemed! as heavy as a stone;,0
"i'm comin', ed.",2
feel the pulses of the brave,1
"then this old orchard, sloping to the west;",2
"who, never looking forward, are indeed",2
the things it wrought on; i believe,2
"sky, marsh, my soul, and yonder sail.",2
the dust of half a century lies,2
"on their tracks his eyes were fastened,",2
"around my will to link it with her own,",2
the tale is one of distant skies;,2
"from the pulpit read the preacher, ""goodman garvin and his wife",2
of peace? it is thy father's name. thy life,2
"a spirit of unresting flame,",1
"_you_ took to follerin' where the prophets beckoned,",2
her thoughts are like the lotus,2
"the meadows mine, the mountains mine, --",2
"how they had waited for him, to complete",2
came sages urging on his foamy steed:,2
my father’s sister started when she caught,2
"as under a sunbeam a cloud ascends,",2
look down the shining peaks of all my days,1
with war unhop’d the latians to surprise?,2
but thrown in a heap with a crush and a clatter;,0
i'm here--so far--and starting on again.,2
and breaths were gathering sure,2
"in the twilight of age all things seem strange and phantasmal,",0
"the fraud of priests, the wrong of law,",0
but thy tranquil waters teach,1
"a thousand rubs had flattened down each little cherub's nose,",2
"the cloud is gone that wove the sandstone,",2
ode read at the one hundredth anniversary of the fight at concord bridge,2
"love, on myriad lips fairer than yours, kisses you could not give! . . .",3
whilst this....,2
our frowning foemen of the night,0
"and all their echoes, mourn;",0
his silent sandals swept the mossy green;,2
"thither, if but to prie, shall be perhaps",2
"""onaway! my heart sings to thee,",1
"said, `pass not, so cold, these manifold",2
he sat beside the governor and said grace;,2
"amidst the gold and the purple, and the pillows of his bed:",2
o sun-hint that hath overspread,2
with the _quart d'heure_ of rabelais!,2
"ah, what a pang of aching sharp surprise",0
it shines superior on a throne of gold:,1
"he never told us what he was,",2
and like the others does not slip,2
should favour equal to the sons of heaven:,2
"while i, ... i built up follies like a wall",0
"is beaten by the winds, with foggy vapours bound.",0
"the orchestra had cheered till they were hoarse,",3
when high i heap it with the weed,2
sang as little children sing;,2
but your dead-ripe ones ranges high fer treatin' nothun bretherin;,0
taught by the sorrows that his age had known,0
the oil upon the puddles dries,2
"sometimes towards heav'n and the full-blazing sun,",1
"""stella, see that grasshopper",2
"brown-gabled, long, and full of seams",2
and catered for it as the cretan bees,2
"in the shadow of the shores; as dead leaves wake,",0
to touch such goodness with a grimy palm.,3
in monumental pomp! no grecian drop,1
"that throng our pilgrimage. its sympathy,",2
"i feel the road unroll,",2
"a privilege, i think,",2
"nor the president in his presidency, nor the rich in his great house.",3
the sundown's golden trail?,1
i would not live alway,2
"shining and shouting each to each that place),",2
"nathless, as hath been often tried,",2
not in the close successive rattle,2
"thus farr to try thee, adam, i was pleas'd,",1
most beauteous isadore!,1
...    and call to him.,2
all foredoomed to melt away;,0
"her lion-port, her awe-commanding face,",1
"sat mournfully guarding their corpses there,",0
"you have done this, says one judge; done that, says another;",2
but she always ran away and left,0
"our hope, our remembrance, our trust,",1
"or by some cabin door, a bush",2
"would split, for size of me.",2
"on which an army once did feast,",2
when blighting was nearest.,0
and bright in heaven's jewelled crown,1
"betrayed how mightily its heart was stirred,",3
our lives and safeties all;,2
"a different man was brother timothy,",2
"eliab this occasion seized,",2
"jes heavy 'nough to turn a scale thet's doubtfle the wrong way,",2
"for high, and yet more high, the murmurs swell",2
touch it: the marble eyelids are not wet--,2
that antwerp monks may sing a mass for thy poor spearmen's souls.,2
the hostile cohorts melt away;,3
"these often bathed she in her fluxive eyes,",2
godminster? is it fancy's play?,2
very sleepy with the silence.,2
"under these leafy vaults and walls,",2
"east, west, north, south, are his domain.",2
"a poet in his youth, and the cuckoo-bird",2
"a man in the wars delighting, blind-eyed through right and wrong:",3
were murmuring on the stifling air,0
"when thee, the eyes of that harsh long ago",0
the wheat-blade whispers of the sheaf.,2
"the love that lived through all the stormy past,",3
"and then, if it should be",2
"and raised their eyes above,",2
a graciousness in giving that doth make,1
"""what did you hear, for instance?"" willis said.",2
your paynim heroes faster ride,1
as if she were a woman. we who have clipt,2
"such civil war is in my love and hate,",3
honour to the old bow-string!,1
"and then he shut his little eyes,",2
"let sophists give the lie, hearts droop, and courtiers play the worm,",0
swifter far than youth's delight--,1
"for her this rhyme is penned, whose luminous eyes,",1
"and she said: ""what dost thou, brynhild? what matter dost thou seek?""",2
"o, i can ne'er forget",2
"got the ill name of augurs, because they were bores, —)",0
"o so many, many, many",2
"the which she bearing home it burned her nest,",0
"begins, but endeth nevermore;",2
"whether they met on festal eve, in field,",2
who wrote this modest version i suppose,2
me honied paths forsake;,2
the adulterate death of lucrece and her groom.,0
"passing to lap thy waters, crushed the flower",0
the moon and the stars were anxious,0
"well, i guess i looked at that hand",2
"what once has been and ne'er shall be again,",2
and i am still the same;,2
yon creamy lily for their pavilion,2
"""rubadub! rubadub! wake and take the road again,",2
i do not keer a jot;,2
around thy place of slumber glowing!,1
"darling, the merciful father",1
three trojans tug at ev’ry lab’ring oar;,2
of bright and dark obscurity;,3
"tain't the words alone, but feelin's,",2
"mine are calm and tranquil days,",1
"that thou should'st smile again?""--the evening came,",2
for that’s his specialty. what creature else,2
"thinks i, the down lies dreaming",2
from her stately place on high.,1
"the foes inclosing, and his friend pursued,",0
"radiant as moses from the mount, he stood",1
"when thou hadst overcome the sharpness of death, thou didst open the kingdom of heaven to all believers.",3
"but it is not enough, ah! not enough",2
"as george commands, let him be wrong or right,",2
no answer came; but faint and forlorn,0
sweet poesy from heaven,1
"and while before me, spotted with white sails,",2
"and fears are added, and avenging flame.",0
endymion would have passed across the mead,2
the message is not like what i have learned,2
"are angel faces, silent and serene,",1
"ah, soul of mine! so brave and wise",1
"forever quivering o'er his task,",0
"so thick, she cannot see her lover hiding,",2
"but, through the war-cloud, pray to thee",3
around it cling.,2
"lord, remember me!""",2
"unclasped the rusty belt beneath,",2
"what i have heard,",2
despised am i by those who call'd me friend,3
"no, no, you have dismiss'd me; and i go",2
"the china dustless, the keen knife-blades bright,",1
beneath thy gracious feet!,1
"when on the boughs the purple buds expand,",2
"even hearts estranged would turn once more to me,",3
the echoing sounds grow fainter and then cease;,2
and in a pleasing slumber seals his eyes:,1
"he smell de bacon cookin', an' he hyeah de fiah hum;",2
no man could compete with kwasind.,2
to hide the orb of truth--and every throne,2
those cobweb nerves he could not dull within.,0
"the soul with sweetness, and like an adept",1
"unhitched the breeching from a shaft,",2
waiting the flutter of his homemade fly;,2
my daily thoughts perpetual converse held,2
"a wagon, overarched with evergreen,",2
"some come ridin' in top-buggies wid de w'eels all painted red,",2
here on the cliff beneath the oleanders,2
